id_player,id_nationality,nationality,nationality_url
271856,18,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png
240141,37,Poland,https://images.ctfassets.net/rs6bgs1g8dbr/KLzBJsJ0eQPZm4hVsZFgc/1a1b9891525684b366053c13c6c87487/f_37.png
72759,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
269963,186,Syria,https://images.ctfassets.net/rs6bgs1g8dbr/4ExC5x74nUekEvetC1h1zq/d5cb34935dfc81c3213354d397c73f0d/f_186.png
203309,195,Australia,https://images.ctfassets.net/rs6bgs1g8dbr/1DUNR4ygnFYaycexVQIhI7/15aba36ba876956c8bc7529a36fc4fe6/f_195.png
261662,7,Belgium,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png
202994,167,Korea Republic,https://images.ctfassets.net/rs6bgs1g8dbr/3IcFm1ClLrc9g38tLxzRq/b483ff34617754ee59cb514ef3094836/f_167.png
253955,155,China PR,https://images.ctfassets.net/rs6bgs1g8dbr/4YqLYRdvdRuNRMIYc4rXn3/68c63acd963960724937eb55114ac627/f_155.png
221845,155,China PR,https://images.ctfassets.net/rs6bgs1g8dbr/4YqLYRdvdRuNRMIYc4rXn3/68c63acd963960724937eb55114ac627/f_155.png
230897,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
268533,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
279743,26,Israel,https://images.ctfassets.net/rs6bgs1g8dbr/3FPEtUVDwI2cVHEm4lpSjv/2efabd1f67f3a445382bf724398ec67f/f_26.png
262946,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
203287,50,Wales,https://images.ctfassets.net/rs6bgs1g8dbr/2lb0longLpAchIBtWvKqad/335e504d5aabaf48225d5093c2e9bb0a/f_50.png
248216,70,Canada,https://images.ctfassets.net/rs6bgs1g8dbr/47dRsBymvMr3YATwWSnlhV/672e421a8434492fca2ee84bd02f570e/f_70.png
229135,34,Holland,https://images.ctfassets.net/rs6bgs1g8dbr/4uNbG6XOZIntXSyvoqzfAN/611b3238ff441ce8440cc7643632fa0f/f_34.png
199705,18,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png
270700,7,Belgium,https://images.ctfassets.net/rs6bgs1g8dbr/285bLwP3RuTmDmniPEqYn8/8fa66478d339a776a696563fcd3e2005/f_7.png
276178,4,Austria,https://images.ctfassets.net/rs6bgs1g8dbr/3bg83r6RvRyBDVYHtgg2xb/a485aa53dc1601dde6ef38461b136af3/f_4.png
259128,183,Saudi Arabia,https://images.ctfassets.net/rs6bgs1g8dbr/2xsKj3yNx1mgGplLsByo20/3e0c188c1a4ca0cfb970f9481eec026d/f_183.png
224633,155,China PR,https://images.ctfassets.net/rs6bgs1g8dbr/4YqLYRdvdRuNRMIYc4rXn3/68c63acd963960724937eb55114ac627/f_155.png
258491,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
234658,13,Denmark,https://images.ctfassets.net/rs6bgs1g8dbr/W41LohXCFJWoEhvtE1Lva/4b6c673873626d7dd28de8fbfe8f7127/f_13.png
253441,36,Norway,https://images.ctfassets.net/rs6bgs1g8dbr/2oqGDALzThEx7wBBMbyIqE/759a715ed2bf7146304a0736ede94430/f_36.png
257304,4,Austria,https://images.ctfassets.net/rs6bgs1g8dbr/3bg83r6RvRyBDVYHtgg2xb/a485aa53dc1601dde6ef38461b136af3/f_4.png
227947,42,Scotland,https://images.ctfassets.net/rs6bgs1g8dbr/7eFwNyL2kYdVCHj8wqEySc/26c7e6057100962e21ec2866af986f20/f_42.png
253639,59,Peru,https://images.ctfassets.net/rs6bgs1g8dbr/463GhS42CJttzYnrsLTd6I/96a16d7b2a39daee385046aab1a2fca2/f_59.png
253098,95,United States,https://images.ctfassets.net/rs6bgs1g8dbr/5cf40Cv4RRYt6T3ArGJOR1/aec9f45e482b9e325eab179be6a66963/f_95.png
274949,60,Uruguay,https://images.ctfassets.net/rs6bgs1g8dbr/4fGYxsJVNmxNUml4L5DpGb/6ae8147d2d002a8a3db6a6100e58dd6d/f_60.png
231682,195,Australia,https://images.ctfassets.net/rs6bgs1g8dbr/1DUNR4ygnFYaycexVQIhI7/15aba36ba876956c8bc7529a36fc4fe6/f_195.png
203428,50,Wales,https://images.ctfassets.net/rs6bgs1g8dbr/2lb0longLpAchIBtWvKqad/335e504d5aabaf48225d5093c2e9bb0a/f_50.png
262838,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
276436,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
200433,4,Austria,https://images.ctfassets.net/rs6bgs1g8dbr/3bg83r6RvRyBDVYHtgg2xb/a485aa53dc1601dde6ef38461b136af3/f_4.png
236751,36,Norway,https://images.ctfassets.net/rs6bgs1g8dbr/2oqGDALzThEx7wBBMbyIqE/759a715ed2bf7146304a0736ede94430/f_36.png
251364,43,Slovakia,https://images.ctfassets.net/rs6bgs1g8dbr/2rtg33fAnT1KbKCUHlkb5w/07e8ba36c7e290d8b4d68e797d35c614/f_43.png
264200,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
215562,14,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png
236553,21,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png
